,filename,left,bottom,right,top
0,tile_chm_k1_0.tif,145000.0,246000.0,146000.0,247000.0
1,tile_chm_k1_1.tif,146000.0,246000.0,147000.0,247000.0
2,tile_chm_k1_2.tif,147000.0,246000.0,148000.0,247000.0
3,tile_chm_k1_3.tif,148000.0,246000.0,149000.0,247000.0
4,tile_chm_k1_4.tif,149000.0,246000.0,150000.0,247000.0
5,tile_chm_k1_5.tif,150000.0,246000.0,151000.0,247000.0
6,tile_chm_k1_6.tif,151000.0,246000.0,152000.0,247000.0
7,tile_chm_k1_7.tif,152000.0,246000.0,153000.0,247000.0
8,tile_chm_k1_8.tif,153000.0,246000.0,154000.0,247000.0
9,tile_chm_k1_9.tif,154000.0,246000.0,155000.0,247000.0
10,tile_chm_k1_10.tif,155000.0,246000.0,156000.0,247000.0
11,tile_chm_k1_11.tif,156000.0,246000.0,157000.0,247000.0
12,tile_chm_k1_12.tif,157000.0,246000.0,158000.0,247000.0
13,tile_chm_k1_13.tif,158000.0,246000.0,159000.0,247000.0
14,tile_chm_k1_14.tif,159000.0,246000.0,160000.0,247000.0
15,tile_chm_k1_15.tif,160000.0,246000.0,161000.0,247000.0
16,tile_chm_k1_16.tif,161000.0,246000.0,162000.0,247000.0
17,tile_chm_k1_17.tif,145000.0,245000.0,146000.0,246000.0
18,tile_chm_k1_18.tif,146000.0,245000.0,147000.0,246000.0
19,tile_chm_k1_19.tif,147000.0,245000.0,148000.0,246000.0
20,tile_chm_k1_20.tif,148000.0,245000.0,149000.0,246000.0
21,tile_chm_k1_21.tif,149000.0,245000.0,150000.0,246000.0
22,tile_chm_k1_22.tif,150000.0,245000.0,151000.0,246000.0
23,tile_chm_k1_23.tif,151000.0,245000.0,152000.0,246000.0
24,tile_chm_k1_24.tif,152000.0,245000.0,153000.0,246000.0
25,tile_chm_k1_25.tif,153000.0,245000.0,154000.0,246000.0
26,tile_chm_k1_26.tif,154000.0,245000.0,155000.0,246000.0
27,tile_chm_k1_27.tif,155000.0,245000.0,156000.0,246000.0
28,tile_chm_k1_28.tif,156000.0,245000.0,157000.0,246000.0
29,tile_chm_k1_29.tif,157000.0,245000.0,158000.0,246000.0
30,tile_chm_k1_30.tif,158000.0,245000.0,159000.0,246000.0
31,tile_chm_k1_31.tif,159000.0,245000.0,160000.0,246000.0
32,tile_chm_k1_32.tif,160000.0,245000.0,161000.0,246000.0
33,tile_chm_k1_33.tif,161000.0,245000.0,162000.0,246000.0
34,tile_chm_k1_34.tif,145000.0,244000.0,146000.0,245000.0
35,tile_chm_k1_35.tif,146000.0,244000.0,147000.0,245000.0
36,tile_chm_k1_36.tif,147000.0,244000.0,148000.0,245000.0
37,tile_chm_k1_37.tif,148000.0,244000.0,149000.0,245000.0
38,tile_chm_k1_38.tif,149000.0,244000.0,150000.0,245000.0
39,tile_chm_k1_39.tif,150000.0,244000.0,151000.0,245000.0
40,tile_chm_k1_40.tif,151000.0,244000.0,152000.0,245000.0
41,tile_chm_k1_41.tif,152000.0,244000.0,153000.0,245000.0
42,tile_chm_k1_42.tif,153000.0,244000.0,154000.0,245000.0
43,tile_chm_k1_43.tif,154000.0,244000.0,155000.0,245000.0
44,tile_chm_k1_44.tif,155000.0,244000.0,156000.0,245000.0
45,tile_chm_k1_45.tif,156000.0,244000.0,157000.0,245000.0
46,tile_chm_k1_46.tif,157000.0,244000.0,158000.0,245000.0
47,tile_chm_k1_47.tif,158000.0,244000.0,159000.0,245000.0
48,tile_chm_k1_48.tif,159000.0,244000.0,160000.0,245000.0
49,tile_chm_k1_49.tif,160000.0,244000.0,161000.0,245000.0
50,tile_chm_k1_50.tif,161000.0,244000.0,162000.0,245000.0
51,tile_chm_k1_51.tif,145000.0,243000.0,146000.0,244000.0
52,tile_chm_k1_52.tif,146000.0,243000.0,147000.0,244000.0
53,tile_chm_k1_53.tif,147000.0,243000.0,148000.0,244000.0
54,tile_chm_k1_54.tif,148000.0,243000.0,149000.0,244000.0
55,tile_chm_k1_55.tif,149000.0,243000.0,150000.0,244000.0
56,tile_chm_k1_56.tif,150000.0,243000.0,151000.0,244000.0
57,tile_chm_k1_57.tif,151000.0,243000.0,152000.0,244000.0
58,tile_chm_k1_58.tif,152000.0,243000.0,153000.0,244000.0
59,tile_chm_k1_59.tif,153000.0,243000.0,154000.0,244000.0
60,tile_chm_k1_60.tif,154000.0,243000.0,155000.0,244000.0
61,tile_chm_k1_61.tif,155000.0,243000.0,156000.0,244000.0
62,tile_chm_k1_62.tif,156000.0,243000.0,157000.0,244000.0
